lAT, LON, type, SPs (30), SPs (60), SPs (100), SPs (150)
47.061429, 15.4441295,0,15,20,27,35
47.0522165, 15.4329312,0,14,19,26,34
47.052156, 15.4326203,0,15,20,27,35
47.0491067, 15.4330276,0,17,23,30,40
47.0525537, 15.4327423,2,8,10,14,19
47.0495293, 15.4330689,0,13,18,24,31
47.0468857, 15.4329478,0,15,20,27,36
47.0766783, 15.412611,0,13,18,24,32
47.0240119, 15.4309723,2,11,15,20,26
47.1155956, 15.4265076,0,17,22,30,40
47.0359459, 15.4924235,1,15,20,27,36
47.039923, 15.4886868,2,12,16,22,29
47.1178754, 15.4308046,1,15,21,28,36
47.0522327, 15.4767521,0,17,22,30,39
47.0244974, 15.4351102,0,15,20,26,35
47.0232486, 15.430931,0,17,22,30,39
47.0519334, 15.4770845,2,15,20,27,35
47.0456232, 15.4858391,0,14,18,24,32
47.050198, 15.4798091,0,12,16,21,28
47.0542872, 15.4742492,0,14,19,26,34
47.024857, 15.4353642,0,15,20,27,36
47.0362575, 15.4796343,0,17,22,30,40
47.1027284, 15.4220134,0,14,19,26,34
47.1017293, 15.4362995,0,16,21,28,37
47.073133, 15.4630781,2,12,16,22,29
47.073428, 15.4466792,0,13,17,23,30
47.0798782, 15.4057227,0,14,19,26,34
47.0778577, 15.4024594,0,12,16,21,28
47.0729794, 15.4141471,0,17,22,30,39
47.0799567, 15.4024773,0,16,21,28,37
47.0776961, 15.4067297,0,15,20,27,36
47.0795133, 15.4025745,2,15,21,28,36
47.0716777, 15.4650589,0,20,26,35,46
47.0736861, 15.4755304,2,13,18,24,32
47.0732916, 15.4819296,3,9,12,16,22
47.0726811, 15.4937555,0,15,20,27,36
47.0718196, 15.4648748,0,14,19,26,34
47.0731472, 15.4877535,1,13,18,24,31
47.0701955, 15.4621675,0,12,16,22,29
47.0732873, 15.482039,0,13,18,24,32
47.0736315, 15.4701529,3,15,20,27,36
47.0750915, 15.4997776,0,13,18,24,32
47.0729784, 15.4632617,0,21,28,37,49
47.0727847, 15.4940968,2,12,16,22,29
47.0721278, 15.4917999,0,13,17,23,30
47.0731031, 15.4778862,0,9,12,16,21
47.073621, 15.4748948,0,15,20,27,36
47.0701412, 15.4619995,3,9,13,17,23
47.0737322, 15.49765,0,13,18,24,31
47.0734627, 15.4696673,0,14,19,25,33
47.0731426, 15.4776915,0,13,17,23,30
47.0731582, 15.4877075,0,19,25,34,45
47.0737424, 15.4977403,0,17,23,31,40
47.0570744, 15.4753247,0,18,24,32,42
47.0560017, 15.4752219,0,12,17,22,29
47.0589293, 15.4836105,0,17,23,31,41
47.0567142, 15.395367,0,16,21,28,37
47.0788073, 15.4217164,0,16,22,30,39
47.0789389, 15.4222243,0,17,23,31,41
47.0765595, 15.4213241,0,12,16,22,29
47.0767984, 15.4211122,0,13,18,24,32
47.0731137, 15.4012158,0,17,22,30,40
47.0661454, 15.4314974,3,8,11,14,19
47.065577, 15.4314021,0,18,25,33,43
47.0934507, 15.4221929,0,16,21,29,38
47.0564287, 15.4535485,0,14,19,26,34
47.0546021, 15.4953915,0,15,20,27,36
47.0532724, 15.4924268,0,12,16,22,28
47.0537759, 15.483508,2,14,18,25,32
47.0623275, 15.5043577,2,17,23,31,41
47.0701658, 15.4973295,0,18,24,32,42
47.0694692, 15.5023403,0,21,28,38,50
47.0698096, 15.4887411,2,14,19,26,34
47.0668764, 15.4811394,2,13,17,23,31
47.0694406, 15.4863721,0,13,18,24,32
47.0668742, 15.470256,0,12,16,22,29
47.0265899, 15.4316444,0,14,19,26,34
47.0711759, 15.4383532,0,15,21,28,37
47.0746432, 15.4348628,0,14,19,26,34
47.1003781, 15.3805421,3,17,23,31,41
47.0768144, 15.4541902,0,14,19,25,33
47.0426063, 15.3957611,0,14,18,25,32
47.086129, 15.4684802,1,13,18,24,31
47.1173849, 15.421256,3,10,14,19,25
47.1102627, 15.4135205,2,11,14,19,25
47.1062054, 15.420688,2,12,16,21,28
47.1139019, 15.4126757,0,18,24,32,42
47.1137441, 15.4230291,0,17,22,30,40
47.1247216, 15.4247991,1,18,24,32,43
47.1130896, 15.4082595,3,11,15,20,27
47.0795427, 15.3994037,1,10,13,17,23
47.0792373, 15.3963183,2,13,17,23,31
47.0925249, 15.4009849,2,15,20,27,36
47.079844, 15.4049697,0,16,21,28,37
47.0884706, 15.4036429,0,17,23,31,41
47.0712011, 15.4146887,0,15,20,27,36
47.0869943, 15.4024306,0,19,25,34,45
47.0968436, 15.3948521,0,14,19,25,33
47.0916032, 15.3973276,2,12,16,22,29
47.0978447, 15.39914,2,10,14,19,25
47.088826, 15.4006856,3,12,17,22,29
47.0903463, 15.4026507,0,15,20,27,36
47.0812569, 15.4039188,0,12,17,22,29
47.1003572, 15.3944685,0,17,23,30,40
47.0960348, 15.3960049,2,18,24,32,43
47.0844429, 15.4035362,3,9,12,16,21
47.0847023, 15.4032027,0,17,22,30,40
47.0823076, 15.4087939,3,9,12,16,21
47.0865022, 15.4219617,0,16,21,28,37
47.098549, 15.419237,0,18,24,32,42
47.0745562, 15.4013537,0,15,20,26,35
47.0744611, 15.4013156,0,11,15,20,27
47.0825896, 15.4098722,0,13,18,24,31
47.0964112, 15.4195075,3,14,19,25,33
47.0650678, 15.4006498,0,14,19,25,33
47.022764, 15.4269518,0,14,19,25,33
47.020492, 15.415367,0,14,19,26,34
47.0217657, 15.4049185,0,15,20,27,36
47.0325351, 15.3994979,3,11,15,21,27
47.0633102, 15.4032034,0,14,19,25,33
47.0354998, 15.3984731,0,18,25,33,43
47.0209435, 15.4186815,1,14,18,24,32
47.0221813, 15.4009759,0,13,18,24,32
47.0278437, 15.4013932,0,17,23,31,41
47.0209788, 15.4191073,0,8,11,15,20
47.0647047, 15.4006015,0,17,23,31,41
47.0228482, 15.4274636,1,13,17,23,31
47.0221844, 15.4008822,0,15,20,27,35
47.0210103, 15.430846,2,15,20,27,35
47.02075, 15.430846,0,17,23,30,40
47.1157824, 15.426998,2,14,19,25,33
47.111753, 15.499264,2,13,17,23,31
47.1038156, 15.486072,0,18,24,32,42
47.1028618, 15.4836667,0,9,12,16,21
47.1030234, 15.4840418,0,15,20,26,35
47.0949285, 15.4644807,3,11,15,20,27
47.0990027, 15.473373,0,13,17,23,30
47.1003362, 15.4783596,0,20,26,35,46
47.0989333, 15.473022,0,14,19,26,34
47.0996421, 15.475781,0,15,20,27,36
47.1124489, 15.501489,2,10,14,18,24
47.104937, 15.4443483,0,13,17,23,30
47.0950933, 15.4539464,2,15,20,27,36
47.0273478, 15.4669196,0,15,21,28,37
47.0205659, 15.4650503,0,16,22,29,38
47.0227232, 15.469523,1,15,20,26,35
47.0269157, 15.4671421,0,16,21,29,38
47.0326619, 15.4643045,0,16,21,28,37
47.0282068, 15.4549392,2,10,13,18,24
47.0643266, 15.465068,0,15,20,26,35
47.1014325, 15.383184,0,16,22,30,39
47.1014498, 15.3884376,0,16,21,29,38
47.0958356, 15.374691,2,14,18,25,32
47.0546446, 15.495632,3,12,17,23,30
47.0534675, 15.492579,0,12,16,21,28
47.0709626, 15.4194313,1,14,19,26,34
47.070972, 15.4195747,0,17,23,31,41
47.0487594, 15.4344437,1,10,13,17,23
47.0555556, 15.4411261,0,13,17,23,31
47.0482626, 15.4345711,0,12,16,21,28
47.0552233, 15.4414311,0,16,22,30,39
47.0827557, 15.4155296,0,13,18,24,31
47.0997341, 15.4169842,0,13,18,24,32
47.0730353, 15.4017268,0,14,19,25,33
47.0876399, 15.456675,0,16,21,28,37
47.0837499, 15.4162161,0,14,18,24,32
47.08665, 15.4227521,3,7,9,13,17
47.0855717, 15.4197772,0,16,21,29,38
47.083997, 15.4189019,0,16,21,28,37
47.0901542, 15.4092059,0,14,19,25,33
47.0777429, 15.4067154,2,12,16,21,28
47.0776469, 15.4023981,0,15,21,28,37
47.0707793, 15.4479892,0,15,21,28,37
47.0750199, 15.4579762,0,13,18,24,32
47.0706789, 15.4143175,0,14,19,25,33
47.0705839, 15.4135756,1,12,16,22,29
47.0871878, 15.427861,0,14,19,25,33
47.0846226, 15.4872294,2,11,14,19,25
47.0618772, 15.4581327,0,16,21,28,37
47.0673366, 15.4431913,0,12,16,22,29
47.1080789, 15.4173191,0,15,20,27,36
47.0500192, 15.4800827,2,11,15,20,26
47.070106, 15.4061465,0,13,18,24,31
47.0252039, 15.4679766,1,14,19,26,34
47.0479683, 15.3876565,0,10,14,19,25
47.0739401, 15.4169414,0,15,20,27,35
