lAT, LON, type, SPs (30), SPs (60), SPs (100), SPs (150)
48.26303105, 14.31423689,2,16,21,29,38
48.26667547, 14.31319927,1,14,19,26,34
48.27142782, 14.30685964,4,15,20,27,36
48.27501971, 14.30716609,3,12,16,22,28
48.26451139, 14.32245709,1,14,18,25,32
48.273491, 14.32322593,1,17,23,31,41
48.24892988, 14.32921509,2,18,24,32,42
48.24692292, 14.33443711,1,21,28,38,50
48.25220504, 14.33758764,1,14,19,26,34
48.24924683, 14.3440765,1,13,17,23,31
48.25294443, 14.34169714,2,13,18,24,32
48.25558539, 14.3432729,2,12,16,22,29
48.25632456, 14.34738276,2,14,19,26,34
48.26467065, 14.34135636,1,15,21,28,37
48.28556629, 14.26758188,2,14,19,26,34
48.28794806, 14.27588045,3,17,23,31,41
48.28509777, 14.2796873,3,14,19,25,33
48.29412977, 14.27910374,3,14,18,25,32
48.30019402, 14.26207015,2,13,18,24,31
48.29739616, 14.26453329,1,10,14,19,25
48.29813823, 14.26864538,2,11,14,19,25
48.30093618, 14.26618244,1,12,16,21,28
48.30167819, 14.27029485,2,18,24,32,42
48.30542614, 14.26656223,1,17,22,30,40
48.30701409, 14.27209669,2,18,24,32,43
48.30426808, 14.27321405,2,11,15,20,27
48.30500982, 14.27732684,2,10,13,17,23
48.30775587, 14.2762097,2,13,17,23,31
48.28853324, 14.28402732,4,15,20,27,36
48.29212517, 14.28433231,4,16,21,28,37
48.28072206, 14.29955651,2,17,23,31,41
48.30845423, 14.30462087,2,15,20,27,36
48.31540797, 14.26470639,3,19,25,34,45
48.31815388, 14.26358836,4,14,19,25,33
48.31345606, 14.26859189,3,12,16,22,29
48.31419797, 14.27270537,3,10,14,19,25
48.317048, 14.26889601,2,12,17,22,29
48.31979396, 14.26777817,1,15,20,27,36
48.32322983, 14.27212046,1,12,17,22,29
48.32597581, 14.27100268,2,17,23,30,40
48.31683985, 14.27427956,3,18,24,32,43
48.3239716, 14.2762348,2,9,12,16,21
48.32882578, 14.26719236,2,17,22,30,40
48.33595762, 14.26914714,1,9,12,16,21
48.33759746, 14.27333864,1,16,21,28,37
48.34129345, 14.27095025,1,18,24,32,42
48.3402393, 14.27491365,2,15,20,26,35
48.33115539, 14.27684438,2,11,15,20,27
48.33464303, 14.27984196,1,13,18,24,31
48.33010104, 14.28080687,3,14,19,25,33
48.3326906, 14.28372832,3,14,19,25,33
48.33823491, 14.28014708,2,14,19,25,33
48.34182677, 14.28045225,1,14,19,26,34
48.33628247, 14.2840337,2,15,20,27,36
48.33987432, 14.28433913,1,11,15,21,27
48.32339756, 14.29104143,1,14,19,25,33
48.31964881, 14.29477351,1,18,25,33,43
48.31104319, 14.30754225,2,14,18,24,32
48.31378953, 14.30642663,2,13,18,24,32
48.32487952, 14.29927083,1,17,23,31,41
48.33037199, 14.29703803,3,8,11,15,20
48.33607357, 14.28941925,2,17,23,31,41
48.33966541, 14.28972506,1,13,17,23,31
48.33755563, 14.29765069,3,15,20,27,35
48.34030184, 14.296534,3,15,20,27,35
48.33016246, 14.3024229,3,17,23,30,40
48.32905472, 14.30773098,3,14,19,25,33
48.33549774, 14.3042293,3,13,17,23,31
48.34194063, 14.30072677,1,18,24,32,42
48.33829643, 14.30176659,2,9,12,16,21
48.3362383, 14.30834514,3,15,20,26,35
48.33903708, 14.30588262,2,11,15,20,27
48.34167845, 14.30745939,1,13,17,23,30
48.28579533, 14.30808578,1,20,26,35,46
48.28019751, 14.3130054,2,14,19,26,34
48.29033763, 14.30712398,2,15,20,27,36
48.28801624, 14.32042158,1,10,14,18,24
48.29820926, 14.31319545,3,13,17,23,30
48.30085058, 14.31477123,1,15,20,27,36
48.3029091, 14.30819748,2,15,21,28,37
48.30364954, 14.3123107,3,16,22,29,38
48.30433723, 14.31776955,1,15,20,26,35
48.29879167, 14.32134446,1,16,21,29,38
48.29937348, 14.32949366,1,16,21,28,37
48.30328141, 14.32172914,1,10,13,18,24
48.3068732, 14.32203694,1,15,20,26,35
48.3094617, 14.32495913,1,16,22,30,39
48.31542798, 14.31061748,2,16,21,29,38
48.31315881, 14.32257574,1,14,18,25,32
48.32710131, 14.31161586,1,12,17,23,30
48.32588792, 14.3196156,1,12,16,21,28
48.33518281, 14.31230739,2,14,19,26,34
48.33877458, 14.31261482,1,17,23,31,41
48.33856429, 14.31800054,1,10,13,17,23
48.33930433, 14.32211684,1,13,17,23,31
48.32847645, 14.3225388,2,12,16,21,28
48.32567729, 14.32499992,2,16,22,30,39
48.33111759, 14.3241161,2,13,18,24,31
48.33080122, 14.33219338,2,13,18,24,32
48.33465663, 14.32577065,1,14,19,25,33
48.33904084, 14.32884901,1,16,21,28,37
48.32884696, 14.33607745,2,14,18,24,32
48.32514958, 14.33846054,1,7,9,13,17
48.32779049, 14.34003856,2,16,21,29,38
48.32583596, 14.34392211,1,16,21,28,37
48.33877694, 14.33558111,1,14,19,25,33
48.33317802, 14.34050259,1,12,16,21,28
48.34036136, 14.3411215,2,15,21,28,37
48.34014968, 14.34650729,2,15,21,28,37
48.22827623, 14.35036232,2,13,18,24,32
48.23730874, 14.34979156,1,14,19,25,33
48.23625179, 14.35374531,1,12,16,22,29
48.23070496, 14.35731182,1,14,19,25,33
48.24501898, 14.35989468,1,11,14,19,25
48.23413746, 14.36165233,1,16,21,28,37
48.23487596, 14.36576071,1,12,16,22,29
48.23857403, 14.36338356,2,15,20,27,36
48.24205946, 14.36638136,2,11,15,20,26
48.24480644, 14.36527026,1,13,18,24,31
48.24100192, 14.37033513,2,14,19,26,34
